"entity_name","entity_id","team_name","year","runner_runs","fielder_runs","runner_runs_advances","runner_runs_thrown_out","runner_runs_hold","fielder_runs_advances","fielder_runs_thrown_out","fielder_runs_hold","n_opp_xb","n_att_xb","rate_att_xb","est_rate_att_generic_runner","est_rate_att_generic_fielder","n_out","n_safe","rate_safe","rate_safe_per_attempt"
"Garcia, Maikel",672580,"KC",2026,1.5131254291060192,-1.2788372666856787,1.978479565983865,0,-0.4653541368778463,-1.7555536771328892,0,0.4767164104472113,82,34,0.4146341463414633,0.3822681284227094,0.3919465059441664,0,34,0.4146341463414633,1
"Benintendi, Andrew",643217,"CWS",2026,-0.7909907356431821,0.8377126174859588,1.3930424782100719,-0.8759477873527776,-1.3080854265004758,-1.432648946632837,0.8911903990743524,1.379171165044443,62,23,0.37096774193548376,0.40766963426312375,0.4089599729506294,1,22,0.3548387096774193,0.9565217391304348
"Baldwin, Drake",686948,"ATL",2026,-0.5576122897753737,-0.6441710504761811,1.267573193311791,0,-1.8251854830871639,-1.719544119190802,0,1.075373068714621,72,19,0.2638888888888889,0.3396288483588825,0.2660904416220985,0,19,0.2638888888888889,1
"Torkelson, Spencer",679529,"DET",2026,-0.17377032795162253,-0.3758376727618664,0.9478066141078144,0,-1.121576942059437,-1.1142296573077068,0,0.7383919845458405,72,24,0.3333333333333336,0.3808524311430337,0.3452809191147207,0,24,0.3333333333333336,1
"Cronenworth, Jake",630105,"SD",2026,0.37588724870221507,-0.12638434029594697,0.9515586488692115,0,-0.5756714001669962,-0.832582279601423,0,0.7061979393054761,36,12,0.3333333333333333,0.34304297895375,0.37030232056582474,0,12,0.3333333333333333,1
"Marte, Ketel",606466,"AZ",2026,0.13015511582283715,0.13452061978944221,1.4060558289977427,0,-1.2759007131749056,-1.290323864434899,0,1.424844484224341,102,35,0.3431372549019607,0.36689976695544835,0.378410554920468,0,35,0.3431372549019607,1
"Realmuto, J.T.",592663,"PHI",2026,0.8418901206664677,-0.3090288523671866,1.3832276244694088,0,-0.541337503802941,-1.1903780053788555,0,0.8813491530116688,50,19,0.38,0.38466864837076525,0.4279979973133704,0,19,0.38,1
"Vivas, Jorbit",678391,"WSH",2026,0.6252198703761633,-0.9552466062656266,1.2343328870430939,0,-0.6091130166669305,-1.3874396074747397,0,0.4321930012091134,49,18,0.3673469387755102,0.35193242222242466,0.3214305019506046,0,18,0.3673469387755102,1
"Goodman, Hunter",696100,"COL",2026,-2.0452006258928903,1.8471769015784212,1.220362995137272,-1.6070777058553014,-1.658485915174861,-1.3089997590753268,1.6319187951548537,1.5242578654988945,79,27,0.3417721518987342,0.38598427786239425,0.37331073904550754,2,25,0.31645569620253167,0.9259259259259259
"Sanoja, Javier",691594,"MIA",2026,0.6642528142842161,-0.2541252262808286,1.9176700621427043,-0.7739199738303022,-0.47949727402818576,-1.5949420674265038,0.7895570616071492,0.5512597795385262,69,30,0.43478260869565216,0.37144866409588323,0.39207795277594826,1,29,0.42028985507246375,0.9666666666666667
