"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,entity_name,team_name,start_year,end_year,runner_runs_tot,runner_runs_XB,runner_runs_SBX,N_runner_moved,runner_runs_XB_swipe,runner_runs_XB_snipe,runner_runs_XB_freeze,N_runner_moved_XB,runner_runs_SB2,runner_runs_SB3,simple_stolen_on_running_act_SB2,simple_stolen_on_running_act_SB3,N_runner_moved_SBX,runner_runs_per_run
"Steer, Spencer",668715,113,CIN,1B,28,121,1.0,4.44,28.5,"Steer, Spencer",CIN,2026,2026,2.0415604954574267,1.5143062458503371,0.5272542496070894,28,1.918548662277154,0.0,-0.4042424164268169,26,0.452802552164576,0.0744516974425128,-0.7477507816797709,-0.2464583593499323,2,0.016872400788904354
"De La Cruz, Elly",682829,113,CIN,SS,24,122,8.0,4.35,28.5,"De La Cruz, Elly",CIN,2026,2026,0.9628309630204324,1.4017336892256995,-0.4389027262052671,52,3.0943722044153392,-0.7507139980284593,-0.9419245171611806,33,-0.5548741472112274,0.1159714210059602,2.377876011585284,0.4460326988377622,19,0.00789205707393797
"Volpe, Anthony",683011,147,NYY,SS,25,65,,4.33,28.5,"Volpe, Anthony",NYY,2026,2026,-0.0857916029980545,1.0945165987020284,-1.180308201700083,30,2.0762388526805737,-0.7663786864869729,-0.215343567491572,19,-1.342840209658055,0.1625320079579723,-1.4664922117513055,0.6700090161177282,11,-0.0013198708153546845
"Langeliers, Shea",669127,133,ATH,C,28,121,,4.52,28.4,"Langeliers, Shea",ATH,2026,2026,-0.2545256322173186,-0.0464688175127919,-0.2080568147045266,29,1.4713220843289612,0.0,-1.517790901841753,26,-0.2842225398610594,0.0761657251565328,-2.17573662059238,-0.2049845427962042,3,-0.002103517621630732
"Church, Nathan",701675,138,STL,CF,25,114,,4.26,28.4,"Church, Nathan",STL,2026,2026,0.4658675767253321,0.4211744571081472,0.0446931196171849,30,1.579771636284273,-0.7625825502797698,-0.3960146288963558,23,0.0898139467523633,-0.0451208271351784,1.6295682282208388,-0.3988699505378248,7,0.0040865576905730885
"Langford, Wyatt",694671,140,TEX,LF,24,83,1.0,4.34,28.4,"Langford, Wyatt",TEX,2026,2026,0.6609720640972747,-0.1630646401219746,0.8240367042192493,26,1.3248232186403042,-0.7902353665762555,-0.6976524921860232,18,1.31109919897219,-0.4870624947529411,5.321295476641681,-1.3136020764186909,8,0.007963518844545478
"Cruz, Oneil",665833,134,PIT,CF,27,100,8.0,4.37,28.4,"Cruz, Oneil",PIT,2026,2026,2.067138145214144,0.2212657950154117,1.8458723501987324,46,2.1466070545163736,-1.51712907929861,-0.4082121802023515,23,1.7289209175342366,0.1169514326644952,11.410894673737149,0.3265879952318971,23,0.02067138145214144
"Lopez, Otto",672640,146,MIA,SS,27,228,3.0,4.22,28.4,"Lopez, Otto",MIA,2026,2026,3.791980869036544,1.8061828962235664,1.985797972812977,81,4.196633965012405,-1.6332120985037508,-0.757238970285088,56,1.511153767293564,0.4746442055194131,9.79353934416,2.0131246341373266,25,0.016631495039633966
"Triolo, Jared",669707,134,PIT,SS,28,103,,4.42,28.4,"Triolo, Jared",PIT,2026,2026,1.1732578291154938,0.6078557118729929,0.5654021172425009,23,1.170056548603366,0.0,-0.5622008367303732,16,0.4434952613719707,0.1219068558705304,2.0020027555623385,0.517740601390383,7,0.011390852709859163
"Chisholm Jr., Jazz",665862,147,NYY,2B,28,94,7.0,4.24,28.4,"Chisholm Jr., Jazz",NYY,2026,2026,4.1172868030422425,1.5070733155128948,2.610213487529348,52,2.079292827650027,0.0,-0.572219512137132,24,0.7771277406050197,1.833085746924328,6.504861158632635,8.90589230404244,28,0.0438009234366196
